,Unnamed: 0.1,Unnamed: 0,Name,Distance,Mass,Radius,Gravity
188,192,192,SDSSp J125453.90-012247.4 [de],38.0,9.606593528999999e+30,650824.7341679999,984535090239668.1
189,193,193,Kelu-1A,61.0,1.2876923240999997e+31,650824.7341679999,1319695972023385.0
190,194,194,Kelu-1B,61.0,1.1854945205999998e+31,650824.7341679999,1214958196465973.5
191,195,195,2MASS J13204427+0409045,101.0,1.3694505669e+31,670747.940316,1361798483782107.0
192,196,196,SDSSp J132629.82-003831.5 [de],65.0,1.0424175957e+31,644183.665452,1079338973682356.1
193,197,197,SDSSp J134646.45-003150.4 [de],48.0,8.993406707999999e+30,624260.459304,960913379156507.2
194,198,198,2MASS J13595510-4034582,51.0,1.2876923240999997e+31,664106.8716000001,1293302052582917.0
195,199,199,ULAS J141623.94+134836.3,29.7,6.540659424e+30,637542.596736,684286800308421.8
196,200,200,SDSS J141659.78+500626.4 [de],149.0,1.2059340812999998e+31,657465.802884,1223421855096875.2
197,201,201,DENIS-P J142527.97-365023.4 [de],38.0,4.292307747e+30,876621.070512,326591427419928.7
198,202,202,LHS 2924,38.5,1.5534066132e+31,703953.2838960001,1471862174248303.2
199,203,203,2MASS J14392837+1929150,47.0,1.4716483703999998e+31,684030.0777480002,1435009212297272.5
200,204,204,LSPM J1440+1339,72.0,1.8804395844e+31,790287.177204,1587085351975835.8
201,205,205,2MASS J14482563+1031590 [de],47.0,1.2059340812999998e+31,657465.802884,1223421855096875.2
202,206,206,CFBDSIR 1458+10A,104.0,2.2687912376999998e+30,996160.3074,151911669668469.66
203,207,207,CFBDSIR 1458+10B,104.0,1.8395604629999998e+30,863338.9330800001,142121104679441.44
204,208,208,TVLM 513-46546,35.1,1.5329670524999999e+31,697312.21518,1466328857803761.0
205,209,209,2MASS 1503+2525,20.7,8.993406707999999e+30,624260.459304,960913379156507.2
206,210,210,CFBDS J150411+102717,71.0,8.993406707999999e+30,624260.459304,960913379156507.2
207,211,211,2MASSW J1506544+132106 [de],46.0,1.4103296882999998e+31,677389.0090320001,1388699682978855.8
208,212,212,2MASS 1507−1627,23.9,1.2263736419999999e+31,657465.802884,1244157818742585.2
209,213,213,TVLM 868-110639,53.0,1.6147252952999997e+31,717235.4213280001,1501629367343481.0
210,214,214,2MASSW J1515008+484742 [de],34.0,1.1650549598999998e+31,657465.802884,1181949927805455.8
211,215,215,2MASSI J1526140+204341 [de],67.0,1.1037362777999998e+31,650824.7341679999,1131167976020044.2
